Show ID,Title,My Score,MAL Score,Score Diff,MAL Count,Coefficient,Weighted Score Diff,Under or Over,Status,Studio,Season,Year,Source,Director,Eps Count,Date Finished,Cry Status,Review Summary,Thematic Takeaway,Character Comments,Story Comments,Setting Comments,Animation Comments,Music Comments,Extra Content,Miscellaneous Comments,,,
82,A Place Further Than the Universe,10,8.56,1.44,"156,526",7.21%,1.37,Normal,Completed,Madhouse,Winter,2018,Original,Atsuko Ishizuka,13,18/01/2021,Rolling Tears,Friendship stripped bare and beautiful,*in Themes 1,"Every character was fantastic. They all had nuance and spunk and motivations that all made them lovable, realistic, and a joy to follow","Heartwarming and fun. The story always delivered, whether it be through comedy or gut wrenching drama",The use of Anarctica to illustrate the stripping of friendship to reveal the truth underneath was amazing,Fantastic. There were times where it popped,Ed was solid. Not much else,,"Everything this show did from foreshadowing character development to creating side characters that had agency and impacted others in a meaningful way was purposeful, and it reflects in a final product that is moving and powerful. It inspires me to go out and explore with a buddy by my side",,,
183,World Egg Priority,9.5,7.28,2.22,"230,649",10.63%,2.11,Underrated,Completed,CloverWorks,Winter,2021,Original,Shin Wakabayashi,13,23/12/2021,Sniffling Mess,Eggtastic,*in Themes 7,All of them are awesome. Arcs all feel so clean while not stepping on each other. I would like to see more from Neiru if more ever comes though. She needed a bit more,"Super interesting and super fun. Although not every question was answered, which is why the show isn't rated higher, it hooked me nicely",Everywhere these girls went was oozing with style. It helps when the most complex part makes sense,Lowkey some of the best shit I've ever seen. Movie quality for 13 eps,"Op was sweet and OST had some funk to it, albeit used poorly",,"This show didn't disappoint. It's a thematic slam dunk in every possible way. Through an entertaining story of toil and independent decision-making that truly highlights the fragility of humans and the sheer difficulty of standing up for someone else, especially when you have your own problems. With an incomplete story and pacing that's a bit quick in areas, this show did its heavy lifting in the char department. The ending is still good bc of how the show has got us to appreciate the individuality of each char",,,
202,Wolf’s Rain,9.5,7.85,1.65,"116,421",5.37%,1.59,Normal,Completed,Bones,Winter,2003,Original,Tensai Okamura,30,08/01/2022,Rolling Tears,AWOOOO go hard in the paint,*in Themes 7,"The main wolf, Kiba, is the only lackluster part of this show. All of the others have sweet relationships and arcs that end in the most satisfying ways","Some plot points come a bit out of nowhere, lacking proper foreshadowing, but otherwise it's a masterclass of giving me what I wanted","Fantastic. The decaying atmosphere, mixture of magic, guns, and lasers gave this eery feeling that I loved","It's 2003, and they're doing this 8|",Op and OST schlap,,"The intertwining of chars in both arcs and plot relevance is so perfectly done that I can't dislike the show. I only wish that Kiba had some more development before he became our definitive MC bc he felt a little one-note. With so much going on in the plot, it did a nice job of guiding us through the plot, giving us hints as we went along; however, by the end, we did need a bit more info to make sense of some moments. That being said, it got emotional in the end and was satisfying in its conclusion",,,
73,Violet Evergarden,9.5,8.63,0.87,"687,511",31.69%,0.56,Normal,Completed,Kyoto Animation,Winter,2018,Light Novel,Haruka Fujita,16,11/10/2021,Rolling Tears,"Yeah, I was crying. So what?",*in Themes 5,"With the exception of the first movie princess and Erika, the chars were all exceptional. Every single one was just done so right I can't summarize it enough",Lovely all around. The way that the events of early eps set up moments of growth for later were so expertly done. It didn't fail to bore me,So damn good! The world felt alive and fresh. The worldbuilding was so good that it impacted characterization,It's Kyoto. What do you expect?,Definitely helped with setting the moods,,"If it weren't for some bum, minor chars and story details that seemed contrived (like the fights at the end of the original show), then this show would have been a 10/10. It is such a heartwarming, intricate story that succeeds in every way. The compilation of theme, story, char, and world into this story, tying everyone together and fitting them along the main storyline for fulfilling and moving pay-offs is SO FREAKING GOOD. It had me crying over and over again bc I couldn't stay unattached to even the littlest char",,,
115,Tsukigakirei,9.5,8.15,1.35,"181,502",8.37%,1.27,Normal,Completed,feel.,Spring,2017,Original,Seiji Kishi,12,21/05/2021,Rolling Tears,"Painfully realistic, nostalgic, & endearing",*in Themes 3,Everyone was great. The side chars played their parts to a tee and didn't overstep into the spotlight enough to merit more focus. It added to the realism of the show,"The realism is beyond belief. There's highs and lows, and it felt like something I had experienced. It was grounded and knew what it needed to do ","Stunningly beautiful, but not complex enough to be memorable","The CGI and some movement sucked. Otherwise, really good",Op was fitting,,"This show painted a realistic portrait of young love. Every moment was relatable to some degree, and while the constant reminders of my own reality kept me from really diving into the emotion, the whimsical beauty of their struggles shown through in the end. The shorts were also great additions. Chars acted like normal people and the story never strayed into cliche territory. Never treated the audience like children with overexplanations either. Mature in its tone. Overall, a lovely reflection on youthful love.",,,
128,Tamako Market,9.5,7.68,1.82,"128,088",5.90%,1.76,Normal,Completed,Kyoto Animation,Winter,2013,Original,Naoko Yamada,13,31/12/2020,Welled Up,Family and cuteness ,*in Themes 1,"Even by the end of the show, I loved every characters. They were lively, distinct, and played off each other incredibly, creating a sense of home in the market",It all worked. Every plot line had a purpose in showing us the daily lives of these people. Their misadventures weren't something to miss,The market felt alive. Every scene of Tamako walking down emphasized its effect. Setting was used well,One of the best parts of the show. It felt alive and fluid,Op and ED were tight,,"Although it'll always be compared to K-ON, I think Tamako stands out as its own piece of art. It's themes are much deeper than K-ONs while still fostering the same sense of childishness and fun that K-ON did. Other than some pacing issues in early episodes where events went by way too quickly. this show did everything it tried to do, delivering heart warming stories about a community that has grown up together. Plus, the movie provides the closure I never knew I needed",,,
171,Sound! Euphonium,9.5,8.09,1.41,"159,635",7.36%,1.34,Normal,Completed,Kyoto Animation,Spring,2015,Novel,Tatsuya Ishihara,28,18/12/2021,Rolling Tears,Subtle chars and bashful music,*in Themes 6,SO DANG GOOD. Every char was lowkey and had char arcs that intertwined while not becoming contrived and fickle. Miraculously done. Awaiting more,"Admittedly, the movie felt really rushed, but it makes sense given the end result. Nevertheless, it never seemed to go too slowly during s1 & s2",There isn't a whole lot in terms of char being instilled in the setting,It's Kyoto. What do you expect? 2.0,"Surprisingly, not that great outside of the performances",season 3 - ???,"Outside of the movie's rushedness, which is excusable given the appropriate end result, my only complaint comes from Asuka, who becomes a pivotal influence on Kumiko. Their relationship isn't developed enough like a lot of the others. It makes for a very weak ending to s2, especially given that the last ep is about their relationship. Despite this, everything is so tightly written and expertly given the appropriate amount of attention that there's nothing else to complain about. Truly is a band geek's dream anime",,,
146,O Maidens in Your Savage Season,9.5,7.46,2.04,"103,331",4.76%,1.99,Underrated,Completed,Lay-duce,Summer,2019,Manga,Masahiro Andou,12,27/12/2020,Welled Up,"Depravity and beauty, intertwined",*in Themes 1,"Every character, except the teacher, were fascinating and complex. They brought different outlooks that made the plot fresh and sincere","Although it's a character-centric show, the story didn't disappoint; however, the tonal shifts were soemtimes too drastic. Comedy hit though",Not much to talk about here,An odd filter made things look hazy and dirty,Op is okay. Not much else though,,"This show illustrated the complex nature of sex through a multitude of societal POVs, but the pedophilia was problematic in regards to the teacher",,,
185,Mushoku Tensei: Jobless Reincarnation,9.5,8.48,1.02,"430,114",19.83%,0.82,Normal,Completed,Studio Bind,Winter,2021,Light Novel,Manabu Okamoto,23,31/12/2021,Rolling Tears,"Swords, sorcery, and perverts",*in Themes 7,Chef's kiss. Not a single miss here. They're all layered and the conflict that arises is wonderous. Even some of the lamish villains got time to be shone in a new light,"The time jumps makes for some really bad pacing at times, which ruins the sense of progression and mastery. Otherwise, it's god tier","Haven't seen everything, and the magic system isn't too great. But, it hasn't been presented in full yet",Godly work here. It doesn't get much better than this show here. Tight af,A lot of good Ops,,"The pervertedness went a little overboard on this one, and the char and story's sense of progression was really stalled by the massive leaps in time. However, other than that the story rocks. Every complaint I may have had was addressed, namely the lack of tension, which was solved by the overarching goals now assigned to Rudy. You truly get a sense that every char is well-rounded and has a clear arc going on. This makes the constant mistakes and grayness of every decision even better. I WANT S2",,,
76,Mushi-Shi,9.5,8.71,0.79,"212,331",9.79%,0.69,Normal,In Progress,Artland,Fall,2005,Manga,Hiroshi Nagahama,48,10/04/2021,Welled Up,"Episodic, relaxing, beautiful",*in Themes 2,Nothing wrong here. Ginko is a fantastic iconic hero who simply moves through the stories of people around him. The ensemble was full of memorable and lame chars,"Mostly hits. The stories were so detailed yet simple. They were beautiful and moving. They all fit together somehow, and it worked perfectly","Even though the locations changed every episode, the uniqueness of each village was noticeable and well-done","Calming, simple, and fluid. Char designs were great and fit",Beautifully calming. Ops are great,movie,"Episodic shows that relax me will never reach the thought-provoking calming beauty that is Mushi-Shi. It's in-depth, yet shallow, and there wasn't anything to dislike. Although some of the stories failed to be memorable and reached the point of becoming boring, the show's asthetic never wavered. They preached intricate tails and moving themes that are timeless. It truly is a thought-provoking masterpiece with it's nuanced comparisons to real life problems and relationship issues. Just artful and beautiful",,,
31,Mob Psycho 100,9.5,8.62,0.88,"827,453",38.14%,0.49,Normal,Completed,Bones,Summer,2016,Web Manga,Yuzuru Tachikawa,25,06/08/2020,No,Overpowered awesomeness,,,,,,,,,,,
101,Mitsuboshi Colors,9.5,7.42,2.08,"25,249",1.16%,2.07,Underrated,Completed,SILVER LINK,Winter,2018,Manga,Tomoyuki Kawamura,12,06/12/2020,No,Stupid optimism bring joy,*in Themes 1,,,,,,,,,,
177,March Comes In Like A Lion,9.5,8.64,0.86,"224,283",10.34%,0.76,Normal,Completed,Shaft,Fall,2016,Manga,Akiyuki Shinbou,44,17/01/2022,Rolling Tears,Balanced and didn't overstep its bounds,*in Themes 7,Every single one is awesome. They all have backstories and reasons to do what they do that clash and work so well together. I just want more bc to fully flesh them out,"It's a combination of slice of life, drama, and sports all in one. It handles heavy moments well and sprinkles in lightheartedness appropriately",Integrated into emotional moments well. Loved the river vibe. Wish I got more of the neighborhood vibe tho,Singlehandedly made the last-minute backstories emotionally impactful,Some Ops and eds are good. And the OST,,"I once thought Nikaidou was annoying, but his arc ended with me enjoying him. My only gripe with this show is that the relationship between Rei and his adopted sister was incomplete. She didn't even come back in s2, which made it all the more disappointing. She just kinda vanished. Everything else was masterful in its emotional and thematic complexity. It's a slice of life that touches every aspect of life from family to careers to dreams to fulfillment to being a friend. All encompassing (& realistic) greatness",,,
72,K-ON!,9.5,8.02,1.48,"443,877",20.46%,1.27,Normal,Completed,Kyoto Animation,Spring,2009,4-koma Manga,Naoko Yamada,42,25/12/2020,Sniffling Mess,Girls (and me) just want to have fun,*in Themes 1,,,,,,,,,,
49,Kaguya-Sama: Love is War,9.5,8.53,0.97,"648,839",29.91%,0.67,Normal,Completed,A-1 Pictures,Winter,2019,Manga,Shinichi Omata,25,06/08/2020,No,Ass-blasting laughs,,,,,,,season 3 - sp 2022,,,,
139,Just Because!,9.5,7.27,2.23,"91,870",4.23%,2.19,Underrated,Completed,Pine Jam,Fall,2017,Original,Atsushi Kobayashi,12,24/12/2020,Sniffling Mess,Personally touching and realistic,Growing up is painful bc we must learn about ourselves and our place in others' lives,"Each character has an arc surrounding around growing up such as learning patience, expressing emotions, or coming to terms w/ reality.","Natsume's realization felt forced, but in the end, the story beautifully accentuated the pains of adulthood through simplistic storyelling ",Not much to write on about,"CGI was bad for background char, but otherwise, solid",Ed was pretty solid,,"This story hits home especially. Even though I loved Konimya, she did things just because, and by not growing up like the others, she couldn't win out",,,
204,"Josee, the Tiger, and the Fish",9.5,8.58,0.92,"63,651",2.93%,0.89,Normal,Completed,Bones,Fall,2020,Novel,Koutarou Tamura,1,14/06/2021,Rolling Tears,"Dreams, individuals, and perspective","With wings of the heart, you can fly anywhere. To support another's dreams is the highest form of love",Really good. All of them were fantastic. Josee and Tsuneo shone as their bond developed. The ensemble played their part and provided the necessary support,"Other than the rushed pace in the beginning, this film never stopped surprising me. Unique in its telling of a story I didn't see coming","Something about the house was really quant. Everything had purpose and style, adding to the story's feel","Beautiful. Simple and not flashy, but amazingly detail and thorough",This track was straight banging,,"The breakneck speed of the intro and some of the more forced plot points are the only thing keeping this film from being a 10/10. By the end, it deserved its moments tho. It's delivery of a theme about what it means for two people to impact each others' dreams was perfectly on display as the two changed each others' lives by simply understanding what the other wants from life. It's this simple and beautiful connection of personal projects that makes this film an instant classic. Truly marvelous.",,,
93,Gamers!,9.5,6.87,2.63,"275,858",12.72%,2.50,Underrated,Completed,Pine Jam,Summer,2017,Light Novel,Manabu Okamoto,12,07/02/2021,No,"The rough, but beautiful, world of gamers",*in Themes 2,"No character got annoying. They all represented different approaches to gaming, and it showed in their interactions with the others to make a lovable cast ","The misunderstandings, while stupid at times, were overall well-written. Their lack of social skills shined, creating funny moments all around ",Not much to talk about here,"Decent, a little janky at times","Op was good, and the OST didn't take away",,"With such low stakes, the idea of needing big character development is dumb. Every character evolved over the course of the show as seen in how they made decisions later on in the plot. These minute differences had a sense of realism emphasized by the motiffs of gaming culture. This show isn't meant to be a critique or celebration of gaming culture, but rather a lighthearted comedy about the disarray and unification abilities of gaming. Stupid misunderstandings aside, this show did what it wanted to perfectly",,,
152,Flip Flappers,9.5,7.67,1.83,"59,429",2.74%,1.80,Normal,Completed,Studio 3Hz,Fall,2016,Original,Kiyotaka Oshiyama,13,31/12/2020,Sniffling Mess,"Wonder, awe, and magic girls",*in Themes 1,"When it comes to plot relevant characters, everyone had an appropriate amount of depth, motivation, and personality, especially once the story unraveled","Everything works. It's imaginative, it's deep, and it drawed me into each episode","Pure Illusion is a fascinating place, and it added to the creative, fun side of the show. A definite plus",Loved the art style. It was fresh and lively,Op and Ed were tight,,"This show did everything right. If it weren't for the twins and their younger sister seeming to be plot relevant without actually playing a role in anything by the show's end, this show would have been a 10/10. However, Cocona's character development and motivation is God tier, and it concluded on all the right notes",,,
48,Erased,9.5,8.35,1.15,"972,155",44.81%,0.70,Normal,Completed,A-1 Pictures,Winter,2016,Manga,Tomohiko Itou,12,11/07/2020,No,Suspensful until the credits,,,,,,,,,,,
217,Death Parade,9.5,8.17,1.33,"880,274",40.57%,0.92,Normal,Completed,Madhouse,Winter,2015,Original,Yuzuru Tachikawa,12,18/04/2022,Rolling Tears,Take a premise and flip it on its head,*in Themes 8,"All of them are great. Obviously, the ones who got the necessary attention shone through. Even the guests were good. The contrast between chars was enjoyable too",The balance between the background events and the visiting guests' tribunals is so well done. None of the stories feel out of place or flat,"There aren't any annoying exposition dumps. Everything is given perfectly, and it's easy to digest. Unravels nicely","Solid all around. Moments of swag, but pretty simple",Couple OST songs and the Op and Ed,,This show's only flaw is that why things were the way they were and why Nona wanted it changed wasn't really made known. Led to a slightly stifled ending. Everything else was great. The setup to the emotional and powerful ending made the seemingly staggered body of the show worth it. I love how they immediately took the idea and turned it on its head by refuting their own premise. It made it feel rebellious and purposeful in exploring themes that are hard to grasp. All felt connected and well-written,,,
96,Boogiepop and Others,9.5,7.09,2.41,"47,677",2.20%,2.39,Underrated,Completed,Madhouse,Winter,2019,Light Novel,Shingo Natsume,18,15/02/2021,No,"Complex, deep, provoking, and thrilling",*in Themes 2,No character failed to impress me. They all came together to emphasize different themes through their own storylines and interactions with the plot,"Nothing short of spectacular. Although confusing, it didn't ever fail to impress with how characters were all intertwined in the stories","Even though it happened in a bland city, it strangely felt alive in the areas highlighted throughout the show",Nothing short of gorgeous,"Op, Ed, and OST are all masterpieces",Lots of manga left uncovered,"An absolute thrillride, this show grips me from beginning to end. Admittedly, the final arc isn't as strong in terms of character relevance; however, even in these flaws, they provide different things to the plot and thematic takeaways that ultimately make the show better. Taking any character out of the show would make it worse. Also, the complexity of the plot is godly, and I'd love for more",,,
172,Blood Blockade Battlefront,9.5,7.69,1.81,"320,282",14.76%,1.66,Normal,Completed,Bones,Spring,2015,Manga,Rie Matsumoto,24,13/12/2021,Rolling Tears,The urban fanatasy I was looking for,*in Themes 6,Unbelievable. The deep dives in s2 really make them all come to life while still maintaining a simplicity that keeps the chars in their wild states. Super fun all the way,"Awesome. It's not overly complex, but it's also not mindnumbingly boring. You get a sense that abnormal is just normal bc they bring the fun","The city is noice. There's so much cool stuff going on, and you really get a sense that it's a cohesive/troubled city","Amazing all around. Especially char designs, and the distant shots",Ops and Eds and OSTs oh my!,,"A clever combo of over-the-top fun with a serious show about what it means to have courage, BBB perfectly balances everything it does. It's hilarious, it's emotional, it's wild, and it's chars carry an already super cool idea. If it weren't for the lack of overall cohesiveness to the plot, which is namely a result of the manga not being completely covered, I would love to see this story through bc the plotlines that haven't been addressed yet have so much potential to be awesome. Waiting on s3 at this point",,,
188,Zombieland Saga,9,7.63,1.37,"188,404",8.68%,1.28,Normal,Completed,MAPPA,Fall,2018,Original,Munehisa Sakai,24,24/12/2021,Sniffling Mess,My first attempt at idols,*in Themes 7,"Generally, the chars were all complex enough and fun enough to carry the show without many complaints from me. Admittedly, some were better than others tho","Very interesting. Takes a genre with hundreds of entries and adds a flavorful and interesting story to it. Although ordering is eh, the story is fun",Loved the didn't rooms within the haunted house they lived in. The juxtaposition is funny to take in,The best CGI I've seen since Land of the Lustrous. Really well done all around too,Ops and OST are filled with idol bangers,movie - ???,"I would like to know more about Tae. Also, some eps felt like give-ups in s2. S1's ending felt a little drawn out with Sakura acting like a pouty baby for a reason that was never foreshadowed. Made for a weak ending. However, I do appreciate the backstories and characterizations of each char, especially as they conflict with each other. The comedy is also really fun. Overall, it's a humorous mess as it balances a fantasy storyline behind a parody-esque premise within the most staightforward genre. Pure hilarity",,,
179,Wotakoi: Love is Hard for Otaku,9,7.95,1.05,"382,749",17.64%,0.88,Normal,Completed,A-1 Pictures,Spring,2018,Web Manga,Yoshimasa Hiraike,14,21/12/2021,Welled Up,Just the right amount of cute and realism,*in Themes 7,The six chars all have very distinct and fairly nuanced personalities that make for scenes that are flexible and enjoyable. Relationships are where its goated,Comedy is good & romance is subdued and believable. It takes realism and applies it to themes  to make a story that isn't outlandish,"Very subdued, but the story didn't need anything extravegent",Not too good. Passable at best,Op was aight,,"If it weren't for the OVAs helping pull everything together, the show would have felt mediocre. Fleshing out Kou and Nao really highlighted the maturity of the show. Moments were sweet, not corny. The mix of hobbies, adulthood, and relationships shown through to present a lowkey and fun experience with chars that felt connected by strong relationships and moments of introspection. Major complaints comes from Hanako and Kabakura fighting a bit too much and not being 3D enough in their chars",,,
207,WorldEnd: What Do You Do at the End of the World? Are You Busy? Will You Save Us?,9,7.69,1.31,"159,142",7.34%,1.24,Normal,Completed,Satelight,Spring,2017,Light Novel,Junichi Wada,12,11/02/2022,Rolling Tears,A show knows how to foreshadow,*in Themes 8,"I would have liked more relationship-building between MC and Chtholly. Otherwise, the char arcs on those two were really good. Everyone else was deep enough","Loved the foreshadowing. Twists felt satisfying. There were some dumb moments, but they never took away from my enjoyment",Super interesting. Loved how we were given just enough info for it all to make sense (in almost every case),Not that good. Really subpar and flat,First ep OP is good,,"The intertwining of the MC's backstory and his plot relevance with the fairy's backstory and Chtholly's purpose made for a very fulfilling relationship even if we didn't seem them train together like it was said. I would have liked some more explanations about Elq and her connection to fairys and the world, but otherwise I was SO happy with this. It's themes, chars, and setting truly came together in a way I haven't seen replicated well before. Too short to get the char emphasis out of everyone tho, yet still great",,,
135,Wasteful Days of High School Girls,9,7.71,1.29,"31,561",1.45%,1.28,Normal,Completed,Passione,Summer,2019,Web Manga,Takeo Takahashi,12,27/12/2020,No,Hilarious nonsense and fast talking,*in Themes 1,"Every character brings something funny to the table, creating a mash of loveable chatacters; however, some definitely shine above the others","Although it's purposefully absurd, the episodic stories never disappointed",Not much to talk about here,"Character designs were particularly cool. Overall, really good",Op is one of the best. Ed and OST solid too,,"One of the best comedies I've seen. While the lack of strong characters in some episodes and the fast dialogue pumped it down, the show delivered 100% ",,,
236,Usagi Drop,9,8.41,0.59,"205,522",9.47%,0.50,Normal,Completed,Production I.G,Summer,2011,Manga,Kanta Kamei,11,03/07/2021,Sniffling Mess,Slice of father/daughter,*in Themes 5,"The main duo had a fun synergy, but Rin's going from quiet to outspoken was too quick for me to notice an impact brought by Dai. The ensemble was really good tho","In terms of taking an all-encompassing look at parenting, this show's story does well. It holds up in creating a realistic, yet no overly dreary view",You do get that same homey feeling from both Dai's and the Grandpa's home,Pretty awesome. It felt minimal while still having moments of fluidity,"Op, Ed, and OST are all great. OST is moving",,"It's hard to rate the show THAT highly because the impact on Rin is too quick to notice. However, the impact on Dai is really good. It's nice to see him change over the show's runtime. He and the ensemble he uses as examples to provide a unique example of how parenthood changes your life. Plus, the struggles of the mom trying to leave parenting behind is a fascinating sidestory even if she was unlikeable. In the end, it's a wholesome, slice of what it's like to change your life and find meaning in parenthood",,,
153,Un-Go,9,7.39,1.61,"50,768",2.34%,1.59,Normal,In Progress,Bones,Fall,2011,Novel,Seiji Mizushima,11,01/01/2021,No,Enticing mystery piled upon mystery,*in Themes 1,Characters were enjoyable. Most of the motivations were effectively presented. Character arcs didn't exist among any of the characters though. No change,"Although slow at first and seemingly unimportant (the statue murder seemed irrelevant), the way pieces came together was awesome to watch","Felt like a recovering dystopian future, which made the actions motivated as the war and setting worked seamlessly","Although I'm not a fan of pointy face, I had no issues overall",Ed went off,movie,"There wasn't much of an effort to develop any of the characters. The main guy appeared to not be an iconic hero, which made his lack of development off-putting. He held the same beliefs. Furthermore, the revealing motivation was weak. Still, the plot and themes stood out, and despite the lack of development, the characters clashed in entertaining ways that made for must-see TV",,,
